Diagnosis,Model,XAI_Method,Feature,Reduced Feature,Score,ABS Score,Normalized Score (0-1)
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.153524897,0.153524897,0.735335724
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.152534277,0.152534277,0.730590968
adhdaddDiagnosis517,DT,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.1522758,0.1522758,0.729352944
cancerDiagnosedOther17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.152180559,0.152180559,0.72889677
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.151938539,0.151938539,0.727737571
highCholesterolDiagnosis17,DT,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.151230863,0.151230863,0.724348027
cancerDiagnosedProstate17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.150607468,0.150607468,0.721362162
cancerDiagnosedskinunknownType17,DT,LIME,sdohHowOftenHurtByOthers <= 0.33,sdohHowOftenHurtByOthers,0.563665624,0.563665624,0.720683634
strokeDiagnosis17,NN,Saliency,sdohHelpFromFamily,sdohHelpFromFamily,0.638258994,0.638258994,0.720404487
cancerDiagnosedSkinnonmelano17,DT,Feature_Ablation,sdohUsedElectronicNicotineProd,sdohUsedElectronicNicotineProd,0.225939917,0.225939917,0.71910596
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.149982152,0.149982152,0.718367096
cancerDiagnosedColon17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.149809279,0.149809279,0.717539089
cancerDiagnosedProstate17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.149615866,0.149615866,0.716612701
cancerDiagnosedLung17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.149345133,0.149345133,0.715315976
cancerDiagnosedskinunknownType17,DT,Permutation_Importance,sdohUsedElectronicNicotineProd,sdohUsedElectronicNicotineProd,0.148976868,0.148976868,0.713552103
cancerDiagnosedOther17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.148655696,0.148655696,0.712013791
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohPlacesForHealthyFood,sdohPlacesForHealthyFood,0.148587876,0.148587876,0.711688954
cancerDiagnosis17,NN,Saliency,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,-0.63016057,0.63016057,0.711263776
typeOfArthritisDiagnosed17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.148061944,0.148061944,0.709169906
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.147775594,0.147775594,0.70779838
emphysemaDiagnosis17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.147711362,0.147711362,0.707490729
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.146837682,0.146837682,0.703306078
cancerDiagnosedUterine17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.146478873,0.146478873,0.701587497
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.146405694,0.146405694,0.701236992
cancerDiagnosedSkinnonmelano17,NN,Feature_Ablation,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.219553877,0.219553877,0.698780913
strokeDiagnosis17,NN,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.14547711,0.14547711,0.696789369
cancerDiagnosedLung17,DT,LIME,sdohMeetingsPerYear <= -0.10,sdohMeetingsPerYear,0.543775156,0.543775156,0.69525236
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohHowOftenAbused18,sdohHowOftenAbused18,0.145008415,0.145008415,0.694544468
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.144626272,0.144626272,0.692714124
cancerDiagnosedSkinMelanoma17,DT,LIME,0.33 < sdohCoverUnexpectedExpense <= 0.68,sdohCoverUnexpectedExpense,0.539477546,0.539477546,0.689757583
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.14343209,0.14343209,0.686994369
dcsDiabetesDiagnosisByHealthProf,DT,LIME,sdohTelephoneOthersPerWeek <= -0.61,sdohTelephoneOthersPerWeek,-0.536676476,0.536676476,0.68617623
emphysemaDiagnosis17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.143187938,0.143187938,0.685824958
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.143173233,0.143173233,0.685754526
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.142969858,0.142969858,0.684780424
anginaDiagnosis17,DT,LIME,sdohFeelIsolated <= -0.18,sdohFeelIsolated,-0.533962321,0.533962321,0.682706004
cancerDiagnosedLung17,DT,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.142433628,0.142433628,0.682212052
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.141986436,0.141986436,0.680070144
cancerDiagnosedColon17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.141532866,0.141532866,0.677897687
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.141194459,0.141194459,0.676276824
cancerDiagnosedOther17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.140976531,0.140976531,0.675233018
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.140965347,0.140965347,0.67517945
cancerDiagnosedColon17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.14063692,0.14063692,0.673606389
cancerDiagnosedColon17,NN,Permutation_Importance,sdohLivedWithSplitHome18,sdohLivedWithSplitHome18,0.140450634,0.140450634,0.672714137
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.140398001,0.140398001,0.672462042
cancerDiagnosedOther17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.140320115,0.140320115,0.672088993
emphysemaDiagnosis17,DT,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.140297972,0.140297972,0.671982935
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.139764346,0.139764346,0.669427035
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohAccessPublicTransportation,sdohAccessPublicTransportation,0.139754243,0.139754243,0.669378645
cancerDiagnosedOther17,NN,Permutation_Importance,sdohAffordableHousing,sdohAffordableHousing,0.139618739,0.139618739,0.668729623
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohSatisfiedWithHome,sdohSatisfiedWithHome,0.139107753,0.139107753,0.666282162
cancerDiagnosis17,NN,Saliency,sdohHowOftenHurtByOthers,sdohHowOftenHurtByOthers,-0.58889693,0.58889693,0.664689405
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.13822695,0.13822695,0.662063394
cancerDiagnosedSkinMelanoma17,DT,Feature_Ablation,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.207835088,0.207835088,0.661483161
cancerDiagnosedOther17,NN,Permutation_Importance,sdohCoverUnexpectedExpense,sdohCoverUnexpectedExpense,0.13782034,0.13782034,0.660115861
emphysemaDiagnosis17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.137569557,0.137569557,0.658914689
cancerDiagnosedOther17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.137523604,0.137523604,0.658694589
anginaDiagnosis17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.137493257,0.137493257,0.658549237
cancerDiagnosedLung17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.137168142,0.137168142,0.656992038
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.136912038,0.136912038,0.655765381
cancerDiagnosis17,DT,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.136787259,0.136787259,0.655167729
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.136733965,0.136733965,0.654912468
cancerDiagnosedColon17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.136529761,0.136529761,0.653934395
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.136353973,0.136353973,0.653092426
cancerDiagnosedLymphomaNonhodgkins17,DT,Feature_Ablation,sdohHomeProblemHeat,sdohHomeProblemHeat,0.205130473,0.205130473,0.652875099
anginaDiagnosis17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.135973746,0.135973746,0.651271259
cancerDiagnosedOther17,NN,Permutation_Importance,sdohPlacesForHealthyFood,sdohPlacesForHealthyFood,0.135410485,0.135410485,0.648573417
cancerDiagnosis17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.135371608,0.135371608,0.648387209
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.135150207,0.135150207,0.647326768
anginaDiagnosis17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.135146556,0.135146556,0.647309281
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.135062278,0.135062278,0.646905616
anginaDiagnosis17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.134921777,0.134921777,0.64623266
cancerDiagnosedBreast17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.134856373,0.134856373,0.645919396
cancerDiagnosedskinunknownType17,DT,LIME,#NAME?,#NAME?,0.502868824,0.502868824,0.64295092
cancerDiagnosis17,NN,Saliency,sdohHowOftenChildTouched,sdohHowOftenChildTouched,0.565912008,0.565912008,0.638746267
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.133300712,0.133300712,0.638468271
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.133069395,0.133069395,0.637360336
cancerDiagnosedBreast17,NN,Permutation_Importance,sdoh30DaysMinPerDayModExrcs,sdoh30DaysMinPerDayModExrcs,0.132441652,0.132441652,0.634353646
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.132424897,0.132424897,0.634273394
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.132110904,0.132110904,0.632769467
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.131608067,0.131608067,0.630361037
cancerDiagnosedBreast17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.131499102,0.131499102,0.629839129
cancerDiagnosedOther17,DT,Permutation_Importance,sdoh12MosFoodRanOut,sdoh12MosFoodRanOut,0.131139286,0.131139286,0.628115724
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.1311121,0.1311121,0.627985512
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.130978648,0.130978648,0.627346319
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohHowOftenInsulted,sdohHowOftenInsulted,0.1309678,0.1309678,0.62729436
cancerDiagnosis17,NN,Saliency,sdohDateCompletedYear,sdohDateCompletedYear,0.553119898,0.553119898,0.624307781
cancerDiagnosedColon17,DT,Feature_Ablation,sdohLivedWithDrugs18,sdohLivedWithDrugs18,0.195866229,0.195866229,0.623389503
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohFeelLackCompanionship,sdohFeelLackCompanionship,0.130051813,0.130051813,0.622907072
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohHowOftenInsulted,sdohHowOftenInsulted,0.129876852,0.129876852,0.622069064
anginaDiagnosis17,DT,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.129670922,0.129670922,0.621082725
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohSatisfiedWithLife,sdohSatisfiedWithLife,0.129465731,0.129465731,0.620099925
strokeDiagnosis17,NN,Saliency,sdohHowOftenChildHurt,sdohHowOftenChildHurt,-0.547609329,0.547609329,0.618087989
cancerDiagnosedProstate17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.128774343,0.128774343,0.616788395
strokeDiagnosis17,NN,Saliency,sdohHowOftenAskedToTouch,sdohHowOftenAskedToTouch,-0.545950949,0.545950949,0.616216171
cancerDiagnosedSkinMelanoma17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.128618597,0.128618597,0.616042421
emphysemaDiagnosis17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.128289356,0.128289356,0.61446546
typeOfArthritisDiagnosed17,NN,Permutation_Importance,sdohDateCompletedMonth,sdohDateCompletedMonth,0.127838358,0.127838358,0.612305322
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohMeetingsPerYear,sdohMeetingsPerYear,0.127368421,0.127368421,0.610054473
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.127188612,0.127188612,0.609193245
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.126938298,0.126938298,0.60799432
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.126122774,0.126122774,0.604088217
cancerDiagnosedBreast17,DT,Feature_Ablation,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.189497307,0.189497307,0.603118938
cancerDiagnosedLung17,DT,LIME,0.04 < sdoh12MosMissCardOrLoanPymt <= 0.41,sdoh12MosMissCardOrLoanPymt,0.469381312,0.469381312,0.60013493
strokeDiagnosis17,NN,Saliency,sdohPlacesForParksplay,sdohPlacesForParksplay,-0.530341744,0.530341744,0.598598023
emphysemaDiagnosis17,NN,Permutation_Importance,sdohHowOftenStress,sdohHowOftenStress,0.124708311,0.124708311,0.597313387
cancerDiagnosedColon17,NN,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.124563115,0.124563115,0.596617944
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohSatisfiedWithHome,sdohSatisfiedWithHome,0.124360902,0.124360902,0.595649408
cancerDiagnosedLung17,DT,Permutation_Importance,sdoh12MosMissCardOrLoanPymt,sdoh12MosMissCardOrLoanPymt,0.123823009,0.123823009,0.59307307
typeOfArthritisDiagnosed17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.123778979,0.123778979,0.59286218
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohHowOftenScreamCurse,sdohHowOftenScreamCurse,0.123599291,0.123599291,0.592001532
typeOfArthritisDiagnosed17,NN,Permutation_Importance,sdohPlacesForParksplay,sdohPlacesForParksplay,0.123513241,0.123513241,0.591589379
cancerDiagnosedBladder17,NN,Permutation_Importance,sdohPlacesForParksplay,sdohPlacesForParksplay,0.123497171,0.123497171,0.591512409
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohHowOftenChildInsult,sdohHowOftenChildInsult,0.123137568,0.123137568,0.589790024
cancerDiagnosedUterine17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.122942688,0.122942688,0.588856611
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohSeeOthersPerWeek,sdohSeeOthersPerWeek,0.122748227,0.122748227,0.587925204
strokeDiagnosis17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.122540908,0.122540908,0.586932212
strokeDiagnosis17,NN,Saliency,sdoh12MosMissCardOrLoanPymt,sdoh12MosMissCardOrLoanPymt,0.518334389,0.518334389,0.585045292
strokeDiagnosis17,NN,Saliency,sdohDiscriminationByPolice,sdohDiscriminationByPolice,-0.518223584,0.518223584,0.584920227
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohHowOftenInsulted,sdohHowOftenInsulted,0.122001779,0.122001779,0.584349954
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohHowOftenInsulted,sdohHowOftenInsulted,0.121981424,0.121981424,0.58425246
cancerDiagnosedColon17,NN,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.121609155,0.121609155,0.582469409
cancerDiagnosedCervical17,NN,Permutation_Importance,sdohAttendChurchOrServices,sdohAttendChurchOrServices,0.121356383,0.121356383,0.581258711
anginaDiagnosis17,NN,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.120715699,0.120715699,0.578190037
typeOfArthritisDiagnosed17,DT,Permutation_Importance,sdohFeelIsolated,sdohFeelIsolated,0.120645102,0.120645102,0.5778519
cancerDiagnosedColon17,NN,Permutation_Importance,sdohAccessPublicTransportation,sdohAccessPublicTransportation,0.12014548,0.12014548,0.575458869
cancerDiagnosedLymphomaNonhodgkins17,NN,Permutation_Importance,sdohPlacesForParksplay,sdohPlacesForParksplay,0.120017691,0.120017691,0.5748468
strokeDiagnosis17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.119985291,0.119985291,0.574691614
cancerDiagnosedColon17,NN,Permutation_Importance,sdohPlacesForParksplay,sdohPlacesForParksplay,0.119923712,0.119923712,0.57439667
cancerDiagnosedSkinnonmelano17,NN,Permutation_Importance,sdohAffordableHousing,sdohAffordableHousing,0.119913654,0.119913654,0.574348495
cancerDiagnosedskinunknownType17,NN,Permutation_Importance,sdohFeelLeftOut,sdohFeelLeftOut,0.119857651,0.119857651,0.574080259
anginaDiagnosis17,NN,Permutation_Importance,sdoh30DaysAvgDaysPerWkModExrcs,sdoh30DaysAvgDaysPerWkModExrcs,0.119699694,0.119699694,0.573323695
cancerDiagnosis17,NN,Saliency,sdohDateCompletedMonth,sdohDateCompletedMonth,-0.507862926,0.507862926,0.573226126
cancerDiagnosedBreast17,DT,Permutation_Importance,sdohTelephoneOthersPerWeek,sdohTelephoneOthersPerWeek,0.119640934,0.119640934,0.573042253
emphysemaDiagnosis17,NN,Permutation_Importance,sdohHelpFromFamily,sdohHelpFromFamily,0.119538682,0.119538682,0.572552498
cancerDiagnosedLung17,NN,Permutation_Importance,sdohRelationshipRespondentToAdult,sdohRelationshipRespondentToAdult,0.119522124,0.119522124,0.572473191
